005,0,8000,52,0.47824954986572266,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,8000,52,0.9817466735839844,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,50,1.0867111682891846,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,8000,60,0.9028289318084717,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,59,0.536973237991333,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,63,0.8999142646789551,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,1,8000,66,0.9770135879516602,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,60,0.8633928298950195,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,3,8000,65,0.9907431602478027,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,60,0.9368958473205566,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,0,8000,64,0.5222032070159912,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,8000,66,1.5871644020080566,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,1.436873435974121,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
015,3,8000,68,1.371415615081787,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,67,0.4973268508911133,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,64,1.0660898685455322,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,8000,71,1.0938642024993896,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,2,8000,70,1.0904741287231445,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,71,0.5484664440155029,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,8000,69,0.5681874752044678,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,69,1.6658778190612793,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,69,0.7280399799346924,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,68,1.3048126697540283,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,72,1.2745699882507324,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,67,1.5953867435455322,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,72,1.8837952613830566,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,72,1.9356067180633545,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,67,1.902369737625122,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,72,0.9486732482910156,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,72,2.029299020767212,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,72,3.1018123626708984,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,1,8000,72,3.158804416656494,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,8000,73,1.553907871246338,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,8000,74,3.130481719970703,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,71,3.142164468765259,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,0,8000,53,1.2661151885986328,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,8000,58,1.3883576393127441,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,50,0.9394063949584961,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,3,8000,63,0.9164102077484131,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,8000,58,0.9616765975952148,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,58,1.003173589706421,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,8000,66,1.3301446437835693,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,66,0.9746768474578857,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,63,0.48010921478271484,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,4,8000,62,0.4589502811431885,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,67,0.6055893898010254,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,1,8000,65,1.0646605491638184,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,65,0.51080322265625,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,66,1.0679373741149902,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,61,1.0156569480895996,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,68,1.0786371231079102,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,68,1.118987798690796,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,2,8000,66,1.1206743717193604,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,70,1.1243937015533447,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,66,1.121290922164917,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
030,0,8000,68,1.3311538696289062,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,69,1.3405253887176514,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,68,1.3514435291290283,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,72,1.6206068992614746,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,66,1.2650830745697021,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
060,0,8000,74,0.9233231544494629,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,71,1.9056174755096436,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,2,8000,67,1.8815467357635498,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,72,1.9326508045196533,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,70,1.9485647678375244,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,8000,70,3.0445659160614014,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,73,3.1580474376678467,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,71,3.061882495880127,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,71,3.0616345405578613,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
100,4,8000,74,3.2022154331207275,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,55,0.5514867305755615,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,1,8000,58,0.9515109062194824,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,52,0.9446628093719482,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,63,0.9235737323760986,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,8000,58,0.951366662979126,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,8000,61,1.008558750152588,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,66,0.9691648483276367,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,66,0.970599889755249,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,62,0.9625096321105957,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,61,0.9410688877105713,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,8000,63,0.526578426361084,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,1,8000,64,1.0498461723327637,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,2,8000,64,1.0249457359313965,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,8000,68,1.0330419540405273,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,57,0.7221987247467041,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
020,0,8000,64,1.074061393737793,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,71,1.1523442268371582,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,66,1.1249377727508545,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,70,1.1287548542022705,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,69,1.1256999969482422,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,69,1.2728853225708008,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,68,0.6435861587524414,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,70,0.8720293045043945,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,72,1.3012065887451172,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,8000,67,1.2846269607543945,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,74,1.9178411960601807,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,70,1.9476158618927002,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,8000,67,1.9279742240905762,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,72,1.3925549983978271,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,8000,72,2.8729801177978516,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,72,3.1423985958099365,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,72,1.730860948562622,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,74,3.0708274841308594,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,72,3.834550619125366,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,66,3.1244914531707764,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,57,0.46068549156188965,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,8000,52,0.9541914463043213,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,52,0.955157995223999,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
005,3,8000,63,0.9214577674865723,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,4,8000,55,0.9637727737426758,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,8000,61,1.0142359733581543,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,66,0.494473934173584,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,8000,51,0.9866304397583008,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,8000,63,0.9979429244995117,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,66,0.9546058177947998,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,8000,64,1.090898036956787,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,65,1.085137128829956,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,1.0883126258850098,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,70,1.1493380069732666,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,67,1.0337913036346436,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,0,8000,66,1.1050233840942383,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,8000,69,1.146589994430542,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,8000,60,0.7948043346405029,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,8000,70,0.8705005645751953,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,4,8000,66,1.1436398029327393,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
030,0,8000,66,1.2983953952789307,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,1,8000,68,1.3444621562957764,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,68,1.3474090099334717,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,73,1.031111478805542,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,69,1.2327320575714111,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,72,0.9256906509399414,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,72,0.9291250705718994,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,70,2.0627856254577637,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,72,0.98484206199646,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,8000,72,1.8954339027404785,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,73,3.233476400375366,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,72,3.1125683784484863,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,8000,69,3.093395233154297,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,73,3.0227510929107666,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,4,8000,74,3.058440685272217,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,57,1.2864367961883545,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,8000,52,0.9414544105529785,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,52,0.4631047248840332,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,60,0.9232795238494873,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,58,0.9625754356384277,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,61,1.01375412940979,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,66,0.9595050811767578,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
010,2,8000,66,0.9561035633087158,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,66,0.9724905490875244,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,4,8000,62,0.45876193046569824,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,1.1035206317901611,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,65,1.1113238334655762,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,1.072493553161621,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
015,3,8000,66,0.5147061347961426,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,66,0.49864768981933594,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,0,8000,65,0.773679256439209,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,8000,68,1.178945541381836,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,70,1.1481318473815918,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,72,1.1474480628967285,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,4,8000,67,0.5525636672973633,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,68,0.6388227939605713,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,69,1.320920467376709,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,70,0.6436381340026855,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,3,8000,72,0.6417789459228516,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,67,0.620690107345581,{'C': 1, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,0,8000,72,0.9441447257995605,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,72,0.9611868858337402,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,70,0.9631593227386475,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,8000,72,0.9616296291351318,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,72,0.9989449977874756,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,8000,72,1.5471389293670654,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,72,2.1007349491119385,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,8000,73,1.7600688934326172,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,74,1.5636272430419922,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,8000,71,2.41764760017395,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
