005,0,8000,52,0.47824954986572266,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,8000,53,0.45590925216674805,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,1,8000,58,0.4771273136138916,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,53,0.4812326431274414,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,60,0.46152567863464355,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,55,0.8723175525665283,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
010,0,8000,60,0.5492303371429443,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,8000,66,0.4974174499511719,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
010,2,8000,66,0.4734370708465576,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,60,0.48285627365112305,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,8000,64,0.4601871967315674,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,0.5276689529418945,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,66,0.5222480297088623,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,0.5065152645111084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,3,8000,68,0.5133504867553711,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,60,0.4970381259918213,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,64,0.5374155044555664,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,68,0.5445756912231445,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,2,8000,66,0.5565006732940674,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
020,3,8000,71,0.5510983467102051,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,4,8000,68,0.5491931438446045,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,0,8000,69,0.631385326385498,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,68,0.6589314937591553,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,68,0.6501142978668213,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,73,0.6360530853271484,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,4,8000,70,1.2098596096038818,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,74,0.9458291530609131,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,66,0.9576444625854492,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,8000,70,0.9566361904144287,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,69,0.9541215896606445,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,70,0.9529092311859131,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,8000,70,1.5602123737335205,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,8000,73,1.5629544258117676,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,72,1.5686595439910889,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,8000,73,1.5695571899414062,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,8000,74,1.564988613128662,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,57,0.47947216033935547,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,1,8000,59,0.4845926761627197,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,8000,53,0.4666476249694824,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,66,0.6296484470367432,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,4,8000,58,0.6429619789123535,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,61,0.4928703308105469,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,1,8000,65,0.4810061454772949,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,65,0.4726874828338623,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,3,8000,65,0.481231689453125,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,62,0.45935511589050293,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
015,0,8000,64,0.5249769687652588,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,1,8000,64,0.7677597999572754,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,8000,64,0.5167801380157471,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,8000,66,0.52223801612854,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,68,0.5062494277954102,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,0,8000,66,0.5406577587127686,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,1,8000,69,0.5469300746917725,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,70,0.5517134666442871,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,70,0.5504229068756104,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,8000,65,0.5497350692749023,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,8000,70,0.6322059631347656,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,8000,69,0.6611130237579346,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,68,0.6488831043243408,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,72,0.6484012603759766,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
030,4,8000,67,1.2362725734710693,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,0,8000,72,0.9254739284515381,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,8000,70,0.9339644908905029,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,2,8000,67,0.9314873218536377,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,8000,71,0.9494521617889404,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,8000,72,0.9715285301208496,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,73,1.5084819793701172,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,8000,73,1.5216846466064453,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,70,1.5050315856933594,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,73,1.4989171028137207,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,74,1.5494790077209473,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,52,0.4558217525482178,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,1,8000,58,0.47979140281677246,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,2,8000,52,0.7094082832336426,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,8000,60,0.4517669677734375,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,8000,58,0.46393346786499023,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,60,0.48697900772094727,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,8000,66,0.47636866569519043,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,66,0.9403862953186035,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,62,0.7353291511535645,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,4,8000,64,0.45534658432006836,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,0.5167443752288818,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
015,1,8000,64,0.5207521915435791,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
015,2,8000,64,0.5041790008544922,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,8000,68,0.506279468536377,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,4,8000,60,0.4933156967163086,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,0,8000,66,0.5220894813537598,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,1,8000,68,0.5506808757781982,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
020,2,8000,67,0.5468919277191162,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,70,1.1176669597625732,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,67,0.5490179061889648,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,67,0.6276822090148926,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
030,1,8000,69,0.6565396785736084,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,2,8000,68,0.6456024646759033,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,73,0.6428658962249756,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,65,0.6270771026611328,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,8000,68,0.9288613796234131,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,8000,72,0.9284322261810303,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,67,0.9418573379516602,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,8000,72,0.9553654193878174,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,4,8000,71,0.9656157493591309,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,8000,72,1.535322666168213,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,73,1.518723964691162,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,8000,70,1.5353028774261475,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,3,8000,73,1.5011286735534668,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,66,1.5151646137237549,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
005,0,8000,55,0.4633018970489502,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,59,0.4776184558868408,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,2,8000,56,0.723060131072998,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,62,0.5298278331756592,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
005,4,8000,58,0.46611905097961426,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
010,0,8000,62,0.4984872341156006,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,1,8000,66,0.4778921604156494,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,66,0.6727075576782227,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,8000,65,0.5982017517089844,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
010,4,8000,62,0.45871782302856445,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,0,8000,64,0.5277888774871826,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,65,0.5288350582122803,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,0.5059616565704346,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
015,3,8000,66,0.8883731365203857,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,64,0.49550342559814453,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,0,8000,67,0.5317072868347168,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
020,1,8000,71,0.975914478302002,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,2,8000,67,0.5503640174865723,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,3,8000,70,0.6147010326385498,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,8000,64,0.554445743560791,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
030,0,8000,69,0.6434144973754883,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,1,8000,68,0.6419117450714111,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,68,0.640399694442749,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,3,8000,72,0.6327416896820068,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
030,4,8000,70,0.6216180324554443,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,74,1.6374659538269043,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,1,8000,72,0.9378607273101807,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
060,2,8000,69,0.9475328922271729,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
060,3,8000,72,0.9622249603271484,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,8000,72,1.2017557621002197,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,72,1.5503458976745605,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,72,1.8475916385650635,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,2,8000,68,1.5590641498565674,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,8000,73,1.536158800125122,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,66,1.5461547374725342,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
005,0,8000,55,0.47530150413513184,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
005,1,8000,52,0.4739084243774414,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,2,8000,56,0.6491553783416748,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,3,8000,65,0.45123839378356934,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
005,4,8000,59,0.4681234359741211,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
010,0,8000,58,0.48557019233703613,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,1,8000,66,0.47868776321411133,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
010,2,8000,51,0.4793579578399658,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
010,3,8000,63,0.4756143093109131,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
010,4,8000,66,0.4612770080566406,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,0,8000,64,0.5288569927215576,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,1,8000,65,0.5255017280578613,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,2,8000,64,0.5064828395843506,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,3,8000,66,1.0301940441131592,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,4,8000,64,0.4951004981994629,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
020,0,8000,64,0.6846754550933838,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
020,1,8000,66,0.5407071113586426,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
020,2,8000,70,0.7098450660705566,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,8000,70,0.5427803993225098,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,4,8000,67,0.547785758972168,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
030,0,8000,70,0.6351041793823242,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,1,8000,68,0.6542353630065918,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
030,2,8000,71,0.6338274478912354,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
030,3,8000,73,0.64544677734375,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,4,8000,70,0.6227896213531494,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,8000,72,0.9372203350067139,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
060,1,8000,64,0.9402880668640137,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,8000,71,0.9219326972961426,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
060,3,8000,71,0.9537262916564941,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,8000,72,0.9637370109558105,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,8000,72,1.558847188949585,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,1,8000,71,1.5373539924621582,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,2,8000,68,1.5219686031341553,{'C': 0.1, 'gamma': 0.001, 'kernel': 'poly'}
100,3,8000,73,1.5279467105865479,{'C': 10, 'gamma': 0.01, 'kernel': 'poly'}
100,4,8000,71,3.1447153091430664,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
