005,0,0,53,0.26357007026672363,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,70,0.2599332332611084,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,0.25980472564697266,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,49,0.25992536544799805,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,53,0.2572305202484131,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,68,0.2670431137084961,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
010,1,0,62,0.261796236038208,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,2,0,70,0.2641487121582031,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,57,0.26557159423828125,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,58,0.264617919921875,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,0,0,65,0.2796590328216553,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,64,0.28545141220092773,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
015,2,0,62,0.28197193145751953,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,67,0.2732424736022949,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,68,0.27284765243530273,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,64,0.2895207405090332,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,67,0.3594036102294922,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,69,0.3020181655883789,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
020,3,0,63,0.3604402542114258,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,66,0.292604923248291,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
030,0,0,67,0.31343603134155273,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,1,0,61,0.4597635269165039,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,66,0.3430783748626709,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,62,0.5048792362213135,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,64,0.349365234375,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,0,0,65,0.61834716796875,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,66,0.7916243076324463,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,2,0,68,0.7150082588195801,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,68,0.7033143043518066,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,66,0.6944046020507812,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,69,1.7896649837493896,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,70,1.281327486038208,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,70,1.4560980796813965,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,3,0,65,1.3371140956878662,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,4,0,64,1.8708748817443848,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,0.2629988193511963,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,67,0.2581949234008789,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,2,0,50,0.258803129196167,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
005,3,0,58,0.25780344009399414,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,63,0.25742006301879883,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,0,0,66,0.26531076431274414,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,61,0.2613558769226074,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,62,0.2645251750946045,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,69,0.2640879154205322,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,58,0.2629086971282959,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,69,0.28104138374328613,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.29260826110839844,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,63,0.2869877815246582,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
015,3,0,67,0.2724030017852783,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,67,0.2733490467071533,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,64,0.29632067680358887,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,68,0.3013756275177002,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.2907750606536865,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,68,0.2927241325378418,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,60,0.3072538375854492,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30199575424194336,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,67,0.48161745071411133,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,55,0.38602781295776367,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,52,0.5509374141693115,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,68,0.35497379302978516,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,67,0.7560412883758545,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,64,0.7535946369171143,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,68,0.8070189952850342,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,70,1.0360279083251953,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,4,0,62,0.8429522514343262,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,69,1.1905450820922852,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,69,1.3498334884643555,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,2,0,65,1.1414940357208252,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,3,0,66,1.0613503456115723,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,4,0,65,1.2973129749298096,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,0.26719045639038086,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,70,0.26136136054992676,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,46,0.2602407932281494,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,49,0.25978732109069824,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,60,0.25827860832214355,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.269331693649292,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,59,0.2624061107635498,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,54,0.2650775909423828,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,3,0,63,0.266765832901001,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,59,0.2651791572570801,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
015,0,0,66,0.27919483184814453,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,68,0.28365588188171387,{'C': 1, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,68,0.2763509750366211,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
015,3,0,57,0.27365875244140625,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,68,0.27197933197021484,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,61,0.28757333755493164,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
020,1,0,64,0.3084738254547119,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,65,0.3318135738372803,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,68,0.2975022792816162,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,53,0.29224681854248047,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30743885040283203,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,62,0.4669766426086426,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,2,0,56,0.3538210391998291,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,62,0.4950847625732422,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,4,0,68,0.3785698413848877,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,66,0.9585411548614502,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,1,0,65,1.0712261199951172,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,2,0,69,0.699547529220581,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,70,1.13594651222229,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,65,0.6899697780609131,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,1.15437912940979,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,71,1.7359027862548828,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,64,1.208392858505249,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,3,0,65,1.2890498638153076,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,4,0,65,2.0714638233184814,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,0,0,64,0.26175355911254883,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,67,0.25715184211730957,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,2,0,43,0.2567117214202881,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,3,0,54,0.2560570240020752,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,60,0.2543962001800537,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.26190876960754395,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,59,0.2585432529449463,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,2,0,62,0.26056694984436035,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,56,0.2630882263183594,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,0.26102471351623535,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,69,0.2741539478302002,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,63,0.28126072883605957,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
015,2,0,69,0.2795131206512451,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,61,0.269162654876709,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
015,4,0,68,0.2681119441986084,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,64,0.2851529121398926,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,68,0.30972766876220703,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,70,0.3249380588531494,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,60,0.2873244285583496,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,60,0.29389071464538574,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,67,0.30303955078125,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,1,0,62,1.4408936500549316,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
030,2,0,65,0.3436751365661621,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,59,0.7640163898468018,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,68,0.36008453369140625,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,0,0,67,0.9384346008300781,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,1,0,64,0.7153480052947998,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,68,0.8481471538543701,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
060,3,0,69,0.7968082427978516,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,4,0,65,1.1755421161651611,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
100,0,0,70,1.4560637474060059,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,65,2.233023166656494,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,2,0,69,1.4482808113098145,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,69,2.022339344024658,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,65,1.249054193496704,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,0.2728273868560791,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,59,0.2639756202697754,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
005,2,0,46,0.26320457458496094,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,54,0.26238512992858887,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,60,0.25994300842285156,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.27073240280151367,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,60,0.2650418281555176,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,70,0.26917004585266113,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,56,0.26804232597351074,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,68,0.266188383102417,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
015,0,0,65,0.27850914001464844,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.29195690155029297,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.28133153915405273,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,60,0.2748596668243408,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
015,4,0,68,0.27712106704711914,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,66,0.2928593158721924,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
020,1,0,63,0.30736756324768066,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,65,0.2933948040008545,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,68,0.30400681495666504,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
020,4,0,64,0.2904393672943115,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30904531478881836,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,67,0.5354502201080322,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,56,0.4064972400665283,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,68,0.47125935554504395,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,62,0.3447718620300293,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
060,0,0,65,0.6774325370788574,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,52,0.7412159442901611,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
060,2,0,68,1.0340416431427002,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
060,3,0,70,0.7080185413360596,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,67,0.7170121669769287,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,0,0,64,7.648289918899536,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,1,0,65,1.2023463249206543,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,2,0,65,1.6485600471496582,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,3,0,65,3.143552303314209,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,4,0,64,1.6945431232452393,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
