005,0,0,53,0.26357007026672363,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,53,0.2650172710418701,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,70,0.26231837272644043,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,44,0.26129889488220215,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,54,0.2598073482513428,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,60,0.2580559253692627,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,0,0,66,0.26732778549194336,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,64,0.2635200023651123,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,2,0,70,0.2647225856781006,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,57,0.26738715171813965,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,0.2647109031677246,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,65,0.28437209129333496,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,56,0.2852592468261719,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,62,0.28800082206726074,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,3,0,67,0.28560781478881836,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,63,0.27331972122192383,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,0,0,64,0.2979452610015869,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,60,0.3008449077606201,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.30560946464538574,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,3,0,56,0.3066284656524658,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,64,0.2904078960418701,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.30444765090942383,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,67,0.4105050563812256,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,65,0.36940860748291016,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,3,0,61,0.43012404441833496,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,67,0.4158787727355957,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,55,0.5693135261535645,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
060,1,0,58,0.6643538475036621,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,0,70,0.7575500011444092,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,70,0.9324300289154053,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,4,0,66,0.8546326160430908,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,0,0,70,2.2455432415008545,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,1,0,70,1.2096269130706787,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,65,1.966299057006836,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,3,0,69,1.108247995376587,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,69,1.6555967330932617,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
005,0,0,53,0.26438045501708984,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,1,0,70,0.259624719619751,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,46,0.2596702575683594,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,49,0.2584826946258545,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,53,0.2565329074859619,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,51,0.26430463790893555,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,60,0.26096272468566895,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,66,0.2622101306915283,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,63,0.2647078037261963,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
010,4,0,62,0.2703211307525635,{'C': 0.1, 'gamma': 0.1, 'kernel': 'poly'}
015,0,0,65,0.2785015106201172,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.29456520080566406,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.2833256721496582,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,57,0.2740607261657715,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
015,4,0,67,0.27524828910827637,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,66,0.29990386962890625,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,1,0,65,0.3008129596710205,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
020,2,0,65,0.2957749366760254,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,3,0,56,0.30013370513916016,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,62,0.3056197166442871,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,68,0.3018641471862793,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,66,0.4726443290710449,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
030,2,0,66,0.34953761100769043,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,62,0.41512060165405273,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,66,0.36637210845947266,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,66,0.7799434661865234,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,1,0,64,0.6757621765136719,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,69,1.0093770027160645,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
060,3,0,60,0.7641360759735107,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,66,0.8428874015808105,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,68,1.3917486667633057,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,1,0,70,2.5835659503936768,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
100,2,0,70,1.5756402015686035,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,69,1.3223304748535156,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,4,0,65,1.3887343406677246,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,64,0.2628803253173828,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
005,1,0,67,0.2577974796295166,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,2,0,46,0.25731420516967773,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
005,3,0,58,0.274306058883667,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,4,0,53,0.2574808597564697,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,50,0.26476383209228516,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,60,0.261157751083374,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
010,2,0,65,0.2634727954864502,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,66,0.26517629623413086,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,4,0,58,0.26692843437194824,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,69,0.2738378047943115,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,56,0.2988879680633545,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
015,2,0,61,0.28806090354919434,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
015,3,0,57,0.27219223976135254,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,67,0.27242422103881836,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,69,0.29361987113952637,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,67,0.31307101249694824,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
020,2,0,68,0.3004426956176758,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,3,0,64,0.29384469985961914,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,4,0,67,0.29515767097473145,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,0,0,68,0.3027799129486084,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
030,1,0,66,0.5043048858642578,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,67,0.37143993377685547,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,3,0,65,0.4167907238006592,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,4,0,64,0.3653905391693115,{'C': 10, 'gamma': 0.1, 'kernel': 'poly'}
060,0,0,69,0.9722654819488525,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,1,0,58,0.6483268737792969,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,0,65,1.0153515338897705,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,3,0,67,1.2037289142608643,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,4,0,66,1.5983686447143555,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,65,1.5414352416992188,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
100,1,0,66,1.2492296695709229,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,2,0,66,1.5050897598266602,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
100,3,0,65,1.347987174987793,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
100,4,0,66,1.4279625415802002,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
005,0,0,64,0.26662492752075195,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,62,0.26166319847106934,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
005,2,0,46,0.2615790367126465,{'C': 10, 'gamma': 1, 'kernel': 'rbf'}
005,3,0,49,0.2602858543395996,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,4,0,53,0.25862717628479004,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,64,0.2670271396636963,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,65,0.2630019187927246,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,66,0.26854729652404785,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,3,0,50,0.26784372329711914,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,0.2653172016143799,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,65,0.2902514934539795,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,59,0.28429317474365234,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.2883915901184082,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,64,0.276491641998291,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
015,4,0,67,0.2737545967102051,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,57,0.2903759479522705,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
020,1,0,68,0.30083799362182617,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,64,0.3027620315551758,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,56,0.3058006763458252,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,4,0,64,0.29409265518188477,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,68,0.3046536445617676,{'C': 100, 'gamma': 0.1, 'kernel': 'rbf'}
030,1,0,70,0.38268399238586426,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,56,0.36608171463012695,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,52,0.38039445877075195,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,67,0.38381123542785645,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
060,0,0,69,0.8043622970581055,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,64,0.912219762802124,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
060,2,0,69,0.6680755615234375,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
060,3,0,70,0.8225173950195312,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,68,0.6298754215240479,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
100,0,0,64,1.720362663269043,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,1,0,64,1.9831719398498535,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,2,0,64,1.8081982135772705,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,3,0,64,2.506192684173584,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
100,4,0,65,1.6075689792633057,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
005,0,0,64,0.2653391361236572,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
005,1,0,70,0.2595651149749756,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
005,2,0,44,0.25913238525390625,{'C': 10, 'gamma': 0.1, 'kernel': 'rbf'}
005,3,0,54,0.259077787399292,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
005,4,0,53,0.2569003105163574,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,0,0,64,0.26771092414855957,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
010,1,0,65,0.2615854740142822,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
010,2,0,65,0.2634313106536865,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
010,3,0,62,0.26429009437561035,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
010,4,0,61,0.2632451057434082,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,0,0,65,0.27417945861816406,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,1,0,67,0.27949047088623047,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,2,0,64,0.277787446975708,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,3,0,67,0.2721071243286133,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
015,4,0,67,0.28409290313720703,{'C': 100, 'gamma': 1, 'kernel': 'poly'}
020,0,0,64,0.29020094871520996,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
020,1,0,63,0.30745577812194824,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,2,0,66,0.2970268726348877,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
020,3,0,62,0.2936263084411621,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
020,4,0,64,0.28836512565612793,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,0,0,65,0.3009145259857178,{'C': 1, 'gamma': 1, 'kernel': 'poly'}
030,1,0,66,0.5591707229614258,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
030,2,0,66,0.3631632328033447,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
030,3,0,62,0.40636563301086426,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
030,4,0,66,0.3398470878601074,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
060,0,0,69,0.5953831672668457,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,1,0,58,0.7276110649108887,{'C': 10, 'gamma': 1, 'kernel': 'poly'}
060,2,0,69,0.7228436470031738,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
060,3,0,70,0.8071348667144775,{'C': 1, 'gamma': 0.1, 'kernel': 'sigmoid'}
060,4,0,66,0.8094024658203125,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,0,0,70,1.4149913787841797,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,69,1.3183479309082031,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,69,1.545091152191162,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,70,1.7096028327941895,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,65,1.5759570598602295,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
