5,0,0,66,0.752534866,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
5,1,0,57,0.63451004,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.820401192,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,52,0.768285751,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,4,0,65,0.769004583,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,0,0,52,0.824090958,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
10,1,0,64,0.747181416,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
10,2,0,65,0.804559231,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,51,0.567802906,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
10,4,0,64,0.736214638,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,66,0.750308752,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,1,0,56,0.847743034,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,2,0,63,0.824785471,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,3,0,56,0.790888548,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,57,0.819566727,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
20,0,0,67,0.899588823,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,1,0,74,0.798468351,{'C': 100, 'gamma': 0.01, 'kernel': 'rbf'}
20,2,0,65,0.875721455,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
20,3,0,72,0.941119432,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
20,4,0,65,0.851509094,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
30,0,0,70,0.968321562,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,1,0,68,0.91373539,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
30,2,0,69,0.906963587,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
30,3,0,56,0.591933727,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,4,0,61,0.387278795,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,68,1.080304623,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
60,1,0,72,1.116268396,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,2,0,72,1.0820539,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,3,0,72,1.096567392,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,4,0,72,1.09032917,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,68,1.929565191,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,74,1.926621914,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,74,1.444161892,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,3,0,68,0.923300028,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,4,0,72,1.186999798,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
5,0,0,66,0.519386768,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
5,1,0,57,0.508453846,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.668751478,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,64,0.35657692,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
5,4,0,58,0.715008497,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,0,0,66,0.4324224,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
10,1,0,70,0.27955699,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,2,0,48,0.496042013,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,3,0,66,0.749706268,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
10,4,0,64,0.754249096,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
15,0,0,66,0.78119874,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,1,0,60,0.69824481,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,2,0,65,0.804461241,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
15,3,0,56,0.74883461,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,68,0.793731689,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
20,0,0,67,0.897174358,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
20,1,0,73,0.815330744,{'C': 0.1, 'gamma': 1, 'kernel': 'poly'}
20,2,0,66,0.744732141,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
20,3,0,55,0.797711372,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
20,4,0,65,0.789446354,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
30,0,0,67,0.953356266,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,1,0,70,0.868106127,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
30,2,0,70,0.912203789,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,3,0,70,0.688582897,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
30,4,0,65,0.881394386,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,67,1.352179527,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
60,1,0,72,1.125599623,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,2,0,68,1.114988565,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
60,3,0,68,1.106995106,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
60,4,0,72,1.13586545,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,72,1.918534994,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
100,1,0,74,1.895602703,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,74,1.873408079,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,3,0,74,1.85444355,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.889677286,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
5,0,0,65,0.713213921,{'C': 10, 'gamma': 0.01, 'kernel': 'rbf'}
5,1,0,68,0.713202715,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
5,2,0,52,0.717381239,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,56,0.493114233,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
5,4,0,61,0.731031895,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,0,0,64,0.79890275,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,1,0,66,0.876363516,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,2,0,65,0.832013369,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,51,0.653571844,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
10,4,0,60,0.733980417,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,0,0,56,0.762992144,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
15,1,0,60,0.859455824,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
15,2,0,60,0.828395128,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,3,0,56,0.772235394,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,57,0.792066574,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
20,0,0,67,0.860266685,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
20,1,0,66,0.880693913,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
20,2,0,60,0.865952015,{'C': 1, 'gamma': 0.1, 'kernel': 'rbf'}
20,3,0,72,0.915873766,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
20,4,0,65,0.884496689,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,0,0,69,0.91216445,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,1,0,66,0.910021544,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
30,2,0,65,0.988890648,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,3,0,69,0.623121023,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,68,0.432287216,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
60,0,0,67,0.535848379,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
60,1,0,72,0.551376104,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,2,0,72,1.078644037,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,3,0,74,1.096639633,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,4,0,72,1.087960243,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,68,1.179020882,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,74,1.964618683,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,69,0.915120125,{'C': 1, 'gamma': 0.001, 'kernel': 'rbf'}
100,3,0,74,1.474093437,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.505691767,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
5,0,0,66,0.771295309,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
5,1,0,57,0.694861412,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.736941099,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,57,0.71489501,{'C': 0.1, 'gamma': 0.1, 'kernel': 'rbf'}
5,4,0,53,0.478302002,{'C': 0.1, 'gamma': 1, 'kernel': 'rbf'}
10,0,0,64,0.345082521,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,1,0,66,0.280402184,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
10,2,0,64,0.528925896,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
10,3,0,67,0.659819365,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
10,4,0,57,0.717405558,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,0,0,67,0.837019682,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
15,1,0,56,0.787388325,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,2,0,63,0.764687777,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
15,3,0,56,0.800621986,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,70,0.943531036,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,0,0,65,0.901267529,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,1,0,65,0.879487991,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,2,0,65,0.943002939,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
20,3,0,53,0.903005838,{'C': 1, 'gamma': 1, 'kernel': 'sigmoid'}
20,4,0,64,0.868384123,{'C': 100, 'gamma': 0.001, 'kernel': 'rbf'}
30,0,0,70,0.932032347,{'C': 1, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,1,0,52,0.967087746,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,2,0,58,0.881531,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,3,0,64,1.315818787,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,68,1.04343605,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
60,0,0,67,1.465595961,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
60,1,0,72,1.427359343,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
60,2,0,70,1.510982037,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,3,0,72,1.362419128,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,4,0,66,1.452975512,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
100,0,0,68,2.314409256,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,74,2.191242695,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,2,0,73,2.439009428,{'C': 10, 'gamma': 0.001, 'kernel': 'sigmoid'}
100,3,0,74,2.387348652,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.379053831,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
5,0,0,52,0.804985762,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,1,0,57,0.729870796,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
5,2,0,52,0.696575165,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,3,0,57,0.686130762,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
5,4,0,61,0.729603052,{'C': 0.1, 'gamma': 0.1, 'kernel': 'sigmoid'}
10,0,0,49,0.771099329,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
10,1,0,51,0.69436264,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
10,2,0,64,0.626038313,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
10,3,0,69,0.443952084,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
10,4,0,52,0.794705629,{'C': 10, 'gamma': 1, 'kernel': 'sigmoid'}
15,0,0,66,0.748383999,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,1,0,64,0.824240208,{'C': 10, 'gamma': 0.01, 'kernel': 'sigmoid'}
15,2,0,65,0.76132369,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
15,3,0,56,0.809384584,{'C': 10, 'gamma': 0.1, 'kernel': 'sigmoid'}
15,4,0,68,0.714217424,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
20,0,0,66,0.996007919,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
20,1,0,64,0.773624182,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
20,2,0,46,0.930280209,{'C': 100, 'gamma': 1, 'kernel': 'sigmoid'}
20,3,0,57,0.842034578,{'C': 0.1, 'gamma': 1, 'kernel': 'sigmoid'}
20,4,0,50,0.879535675,{'C': 100, 'gamma': 0.1, 'kernel': 'sigmoid'}
30,0,0,66,0.981960773,{'C': 100, 'gamma': 0.001, 'kernel': 'sigmoid'}
30,1,0,66,1.044865608,{'C': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}
30,2,0,73,0.983362675,{'C': 10, 'gamma': 0.001, 'kernel': 'rbf'}
30,3,0,66,0.45279789,{'C': 100, 'gamma': 0.01, 'kernel': 'sigmoid'}
30,4,0,65,0.417760611,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
60,0,0,66,0.548757315,{'C': 0.1, 'gamma': 0.01, 'kernel': 'rbf'}
60,1,0,68,0.537233114,{'C': 0.1, 'gamma': 0.01, 'kernel': 'poly'}
60,2,0,70,0.546732664,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
60,3,0,68,1.114018679,{'C': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}
60,4,0,72,0.543607712,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,0,0,74,1.923716307,{'C': 1, 'gamma': 0.01, 'kernel': 'rbf'}
100,1,0,74,1.904769897,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,2,0,68,1.930166721,{'C': 0.1, 'gamma': 0.01, 'kernel': 'sigmoid'}
100,3,0,74,1.913137913,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
100,4,0,74,1.91552496,{'C': 1, 'gamma': 0.01, 'kernel': 'poly'}
